GSE,title,oragnism,dataset_type,platform,number_of_samples,ftp,sra_run_selector,bioproject
GSE56924,Ribosome profiling reveals an important role for translational control in circadian gene expression,Homo sapiens,,GPL11154,96,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE56nnn/GSE56924/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA244941,PRJNA244941
GSE156671,Genome-wide structure changes during neuronal differentiation drive gene regulatory networks,Homo sapiens,,['GPL20301'],95,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE156nnn/GSE156671/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA658654,PRJNA658654
GSE61073,mRNA destabilization is the dominant effect of mammalian microRNAs by the time substantial repression ensues,Homo sapiens; Mus musculus,,5 related Platforms,95,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE61nnn/GSE61073/,,
GSE134324,High throughput ribosome profiling of E. coli expressing a library of heterologous proteins,Escherichia coli,,GPL21222,94,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE134nnn/GSE134324/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA554781,PRJNA554781
GSE139939,Genome-scale transcription–translation mapping reveals novel features of Zymomonas mobilis promoters and transcription units ,Zymomonas mobilis subsp. mobilis ZM4 = ATCC 31821,,['GPL27722'],94,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE139nnn/GSE139939/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA587699,PRJNA587699
GSE148039,Ythdf m6A readers compensate each other in a context dependent manner,Mus musculus,,"['GPL21626', 'GPL17021']",93,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE148nnn/GSE148039/,,
GSE106483,Genome organization of dengue and Zika viruses,Dengue virus 3; Dengue virus 4; Zika virus; Homo sapiens; Dengue virus 1; Dengue virus 2,,6 related Platforms,87,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE106nnn/GSE106483/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA417011,PRJNA417011
GSE155077,Translation and codon usage regulate Argonaute slicer activity to trigger germline small RNA biogenesis,Caenorhabditis elegans,,GPL19757,86,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE155nnn/GSE155077/,,
GSE162197,OXPHOS deficiency activates global adaptation pathways to maintain mitochondrial membrane potential,Saccharomyces cerevisiae W303,,GPL25517,86,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE162nnn/GSE162197/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA680923,PRJNA680923
GSE60426,mRNA destabilization is the dominant effect of mammalian microRNAs by the time substantial repression ensues (sequencing),Homo sapiens; Mus musculus,,4 related Platforms,85,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE60nnn/GSE60426/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA258219,PRJNA258219
GSE73553,Circadian and feeding rhythms differentially affect rhythmic mRNA transcription and translation in mouse liver [Ribosome Profiling],Mus musculus,,GPL17021,84,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE73nnn/GSE73553/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA297288,PRJNA297288
GSE144682,The role of long noncoding RNAs during pancreas development,Homo sapiens,,['GPL20301'],83,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE144nnn/GSE144682/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA604580,PRJNA604580
GSE174329,Combinatorial analyis of translation dynamics reveals eIF2 dependence of translation initiation at near-cognate codons,Homo sapiens,,GPL24676,82,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE174nnn/GSE174329/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA729461,PRJNA729461
GSE166544,The molecular basis of coupling between poly(A)-tail length and translational efficiency,Mus musculus; Xenopus laevis; Homo sapiens,,"['GPL16791', 'GPL17021']",79,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE166nnn/GSE166544/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA701262,PRJNA701262
GSE72856,Intragenic DNA methylation prevents cryptic transcription initiations on gene bodies,Mus musculus,,['GPL19057'],78,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE72nnn/GSE72856/,,
GSE61742,Impact of regulatory variation from RNA to protein,Homo sapiens,,GPL16791,72,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE61nnn/GSE61742/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA262009,PRJNA262009
GSE131112,Translational control of cardiac fibrosis,Homo sapiens,,GPL11154,70,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE131nnn/GSE131112/,,
GSE34082,High-resolution view of the yeast meiotic program revealed by ribosome profiling,Saccharomyces cerevisiae,,['GPL9377'],70,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE34nnn/GSE34082/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA149975,PRJNA149975
GSE140367,Robust partitioning of microRNA targets from downstream regulatory changes,Homo sapiens,,GPL18573,69,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE140nnn/GSE140367/,,
GSE116570,Cotranslational assembly of protein complexes in eukaryotes revealed by ribosome profiling,Saccharomyces cerevisiae BY4741,,GPL18330,68,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE116nnn/GSE116570/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA479682,PRJNA479682
GSE65912,"Integrative analysis of RNA, translation and protein levels reveals distinct regulatory variation across humans",Homo sapiens,,GPL11154,68,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE65nnn/GSE65912/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA275386,PRJNA275386
GSE165622,Dynamic changes in tRNA modifications and abundance during T-cell activation,Mus musculus,,['GPL19057'],64,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE165nnn/GSE165622/,,
GSE52809,Poly(A)-tail profiling reveals an embryonic switch in translational control,Schizosaccharomyces pombe; Danio rerio; Arabidopsis thaliana; Drosophila melanogaster; Xenopus laevis; Mus musculus; Saccharomyces cerevisiae; Homo sapiens,,13 related Platforms,64,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE52nnn/GSE52809/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA230112,PRJNA230112
GSE173283,The human mitochondrial translatome promotes mitonuclear balance,Homo sapiens,,['GPL18573'],63,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE173nnn/GSE173283/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA725118,PRJNA725118
GSE188574,A dual-activity topoisomerase complex regulates mRNA translation and turnover,Homo sapiens,,"['GPL30173', 'GPL24676']",62,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE188nnn/GSE188574/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA779461,PRJNA779461
GSE61753,The ribosomal protein Asc1/RACK1 is required for efficient translation of short mRNAs,Saccharomyces cerevisiae Sigma1278b,,['GPL21667'],62,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE61nnn/GSE61753/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA262036,PRJNA262036
GSE140997,Sequence- and structure-specific cytosine-5 methylation in mRNAs by NSUN6,Homo sapiens,,['GPL20301'],61,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE140nnn/GSE140997/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA591625,PRJNA591625
GSE65786,Ribosomes guide pachytene piRNA formation on long intergenic piRNA precursors,Mus musculus; Anolis carolinensis,,['GPL13112'],61,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE65nnn/GSE65786/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA275185,PRJNA275185
GSE184209,TRL-1 undergoes phase separation to regulate the reproduction and longevity tradeoff,Caenorhabditis elegans,,GPL13657,60,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE184nnn/GSE184209/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA763584,PRJNA763584
GSE130898,The RNA hairpin binder TRIM71 modulates alternative splicing by repressing Mbnl1 [RNA-seq & Ribo-seq],Mus musculus; Homo sapiens,,['GPL16791'],60,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE130nnn/GSE130898/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA541924,PRJNA541924
GSE178718,Structured elements drive extensive circular RNA translation,synthetic construct,,['GPL21616'],58,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE178nnn/GSE178718/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA740184,PRJNA740184
GSE142822,Anti-tumor immunity induces the presentation of aberrant peptides in melanoma,Homo sapiens,,GPL18573,57,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE142nnn/GSE142822/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA598557,PRJNA598557
GSE114794,Nutrient deprivation elicits a transcriptional and translational inflammatory response coupled to decreased protein synthesis,Homo sapiens,,GPL16791,57,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE114nnn/GSE114794/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA472636,PRJNA472636
GSE123981,Age-resolved ribosome profiling and RNA-Seq data of mice liver and kidney samples,Mus musculus,,GPL19057,56,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE123nnn/GSE123981/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA510416,PRJNA510416
GSE116233,Optimization of Ribosome Profiling Using Brain Tissue from Fragile X Mice,Mus musculus; Homo sapiens,,['GPL18573'],56,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE116nnn/GSE116233/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA477831,PRJNA477831
GSE125038,Cycloheximide can distort measurements of mRNA levels and translation efficiency,Saccharomyces cerevisiae,,GPL21656,56,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE125nnn/GSE125038/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA515049,PRJNA515049
GSE115162,Regulation of Translation Elongation Revealed by Ribosome Profiling,Homo sapiens; Saccharomyces cerevisiae; Caenorhabditis elegans,,"['GPL16791', 'GPL18245']",56,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE115nnn/GSE115162/,,
GSE103421,A stress response that monitors and regulates mRNA structure is central to cold-shock adaptation,Escherichia coli; Escherichia coli str. K-12 substr. MG1655,,4 related Platforms,55,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE103nnn/GSE103421/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA401857,PRJNA401857
GSE155236,"ActD, Ribo-Seq and nRibo-Seq timecourses in RAW264.7 cells and mESCs",Mus musculus,,GPL19057,54,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE155nnn/GSE155236/,,
GSE108778,"Pervasive, coordinated protein level changes driven by transcript isoform switching during meiosis",Saccharomyces cerevisiae,,GPL17342,54,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE108nnn/GSE108778/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA428526,PRJNA428526
GSE52799,Polysome profiling and ribosome footprinting of Drosophila mature oocyte and activated egg,Drosophila melanogaster,,GPL13304,54,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE52nnn/GSE52799/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA230057,PRJNA230057
GSE161304,Mapping of m6A and Its Regulatory Targets in Prostate Cancer Reveals a METTL3-low Induction of Therapy Resistance,Homo sapiens,,['GPL21697'],53,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE161nnn/GSE161304/,,
GSE148262,HDLBP binds ER-targeted mRNAs by multivalent interactions to promote protein synthesis of transmembrane and secreted proteins,Homo sapiens,,"['GPL16791', 'GPL20301']",52,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE148nnn/GSE148262/,,
GSE115106,RNA m6A-Ythdf1 in dendritic cells triggers anti-tumor immunity,Mus musculus,,"['GPL21103', 'GPL21273']",52,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE115nnn/GSE115106/,,
GSE85591,The Gcn4 Transcription Factor Reduces  Protein Synthesis Capacity and Extends Yeast Lifespan,Saccharomyces cerevisiae,,['GPL17342'],52,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE85nnn/GSE85591/,,
GSE53743,Translational profiling in the unfolded protein response,Mus musculus,,GPL13112,52,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE53nnn/GSE53743/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA232779,PRJNA232779
GSE156798,"Determining the methyltransferase activities of METTL3, METTL14, and METTL16",Homo sapiens,,GPL16791,51,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE156nnn/GSE156798/,,
GSE59821,Restrictions in amino acid availability revealed by differential ribosome codon reading,Homo sapiens,,"['GPL15520', 'GPL16791']",51,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE59nnn/GSE59821/,,
GSE169632,Profiling and functional characterization of maternal mRNA translation in mouse maternal-to-zygotic transition,Mus musculus,,['GPL19057'],50,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE169nnn/GSE169632/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA717246,PRJNA717246
GSE85590,The Gcn4 Transcription Factor Reduces Protein Synthesis Capacity and Extends Yeast Lifespan [RNA-Seq],Saccharomyces cerevisiae,,['GPL17342'],50,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE85nnn/GSE85590/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA338923,PRJNA338923
GSE175363,Intergenerational hormesis is regulated by heritable 18S rRNA methylation  18S rRNA methylation is heritably transmitted to regulate intergenerational hormesis,Caenorhabditis elegans,,GPL22765,48,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE175nnn/GSE175363/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA732080,PRJNA732080
GSE190981,YTHDC2 CLIP and RNA-seq and Ribo-seq of Ythdc2KO and Ythdc2-WLA mutants,Mus musculus,,"['GPL19057', 'GPL16417']",48,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE190nnn/GSE190981/,,
GSE129702,Super-enhancer redistribution as a mechanism of broad gene dysregulation in repeatedly drug-treated cancer cells,Homo sapiens,,['GPL11154'],48,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE129nnn/GSE129702/,,
GSE94982,A spatio-temporal translatome of mouse tissue development,Mus musculus,,GPL17021,48,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE94nnn/GSE94982/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA375080,PRJNA375080
GSE125725,RNA-seq and ribosome profiling of heat shocked wild type and Mettl14 -/- mouse embryonic stem cells,Mus musculus,,GPL17021,48,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE125nnn/GSE125725/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA517401,PRJNA517401
GSE108334,eIF1A residues implicated in cancer stabilize translation preinitiation complexes and favor suboptimal initiation sites in yeast,Saccharomyces cerevisiae,,GPL17342,48,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE108nnn/GSE108334/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA423281,PRJNA423281
GSE81283,Translational contributions to tissue-specificity in rhythmic and constitutive gene expression,Mus musculus,,GPL17021,48,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE81nnn/GSE81283/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA321185,PRJNA321185
GSE81932,"Ribosome profiling of synchronous, non-arrested yeast cells identifies translational control of lipid biosynthesis enzymes in the cell cycle",Saccharomyces cerevisiae,,GPL17342,48,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE81nnn/GSE81932/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA323467,PRJNA323467
GSE78960,Modeling the Neuropathology of Tuberous Sclerosis with Human Stem Cells Reveals a Role for Inflammation and Angiogenic Growth Factors [Treatment],Homo sapiens,,GPL16791,48,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE78nnn/GSE78960/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA314507,PRJNA314507
GSE67305,Ribosome profiling reveals the rhythmic liver translatome and circadian clock regulation by upstream open reading frames,Mus musculus,,GPL17021,48,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE67nnn/GSE67305/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA279465,PRJNA279465
GSE48140,mRNA and Ribosome Profiling in Four Nematode Species Traversing a Shared Developmental Transition,Caenorhabditis remanei; Caenorhabditis briggsae; Caenorhabditis brenneri; Caenorhabditis elegans,,4 related Platforms,48,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE48nnn/GSE48140/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA208993,PRJNA208993
GSE62247,Cell fate determination by ubiquitin-dependent regulation of translation,Homo sapiens,,GPL11154,46,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE62nnn/GSE62247/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA263582,PRJNA263582
GSE25627,Initiation Pausing of 80S Ribosome on mRNA Is Governed by 5’UTR and Responsive to mTORC1 Signaling,Mus musculus,,['GPL4134'],46,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE25nnn/GSE25627/,,
GSE61998,m6A mRNA Methylation Facilitates Resolution of Naïve Pluripotency Towards Differentiation,Mus musculus,,GPL17021,45,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE61nnn/GSE61998/,,
GSE52861,Extensive oscillatory gene expression during C. elegans larval development [RNA-seq for polyA enriched mRNAs],Caenorhabditis elegans,,GPL13657,45,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE52nnn/GSE52861/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA230374,PRJNA230374
GSE169169,Phase separation of Ddx3xb helicase regulates maternal-to-zygotic transition in zebrafish,Danio rerio,,GPL24995,44,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE169nnn/GSE169169/,,
GSE194172,"The Interplay Between Translational Efficiency, Poly(A) Tails, MicroRNAs, and Neuronal Activation",Mus musculus,,GPL17021,44,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE194nnn/GSE194172/,,
GSE118395,In vivo RNAi mediated knockdown of translation initiation factor eIF3m is associated with alterations in ribosome biogenesis,Mus musculus,,"['GPL13112', 'GPL16417']",44,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE118nnn/GSE118395/,,
GSE176130,"Charged tRNA profiling of mcf10a, HCC1806 cells, polysome profiling, RNA-Seq and Ribo-Seq in 4T07 cells upon LARS knockdown by shRNA, and RNA-Seq of ribosome-associated RNAs in Lars depleted PyMT tumors ",Homo sapiens; Mus musculus,,['GPL19057'],43,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE176nnn/GSE176130/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA734953,PRJNA734953
GSE80157,Post-transcriptional regulation by the let-7 microRNA and the TRIM-NHL protein LIN41 [RNA-seq],Caenorhabditis elegans,,GPL13657,43,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE80nnn/GSE80157/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA318054,PRJNA318054
GSE80133,Post-transcriptional regulation by the let-7 microRNA and the TRIM-NHL protein LIN41 [Ribosome footprinting],Caenorhabditis elegans,,GPL13657,43,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE80nnn/GSE80133/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA318047,PRJNA318047
GSE143393,Male-specific lymphomagenesis by serial inverse dysregulation of the RNA helicases DDX3X and DDX3Y.,Homo sapiens,,GPL16791,42,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE143nnn/GSE143393/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA605444,PRJNA605444
GSE162323,SARS-CoV-2 utilizes a multipronged strategy to suppress host protein synthesis,Severe acute respiratory syndrome coronavirus 2; Homo sapiens,,['GPL24676'],42,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE162nnn/GSE162323/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA681523,PRJNA681523
GSE114222,Loss of m6A RNA methylation during glioma stem cell differentiation is regulated by miRNAs and promotes translation efficiency,Homo sapiens,,GPL16791,42,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE114nnn/GSE114222/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA470579,PRJNA470579
