Accession	Organism	Samples	Type	Platform	Title	Year	Summary	Link	Paper_title	Journal	Impact factor 2018	doi or pubmed id	All references	Type of molecule	BioProject link (NCBI)	BioProject link (EBI)	SRA
GSE69906	Homo sapiens	14	Expression profiling by high throughput sequencing; Other	GPL11154	The transcription and translation landscapes during human cytomegalovirus infection reveal novel host-pathogen interactions	2015-06-16	During its long infection cycle, human cytomegalovirus (HCMV) extensively manipulates cellular gene expression to maintain conditions favorable for viral propagation. In order to reveal the signature of cellular genes that are manipulated by HCMV, we measured RNA abundance and rate of protein production through the course of HCMV infection. We characterized changes for most expressed cellular genes and although much of the regulation was transcriptional we uncover diverse and dynamic translational regulation for subsets of host genes, revealing unappreciated coordination in translational control that suggests common regulators	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE69906	The Transcription and Translation Landscapes during Human Cytomegalovirus Infection Reveal Novel Host-Pathogen Interactions.	PLoS pathogens	6.463	https://doi.org/10.1371/journal.ppat.1005288	{PLoS pathogens (6.463): 10.1371/journal.ppat.1005288}	'total RNA'	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA287112	https://www.ebi.ac.uk/ena/browser/view/PRJNA287112	https://www.ncbi.nlm.nih.gov/sra?term=SRP059531
GSE115162	Homo sapiens; Saccharomyces cerevisiae; Caenorhabditis elegans	56	Other	GPL16791; GPL17342; GPL18245	Regulation of Translation Elongation Revealed by Ribosome Profiling	2018-05-31	This SuperSeries is composed of the SubSeries listed below.	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE115162	Molecular mechanism of translational stalling by inhibitory codon combinations and poly(A) tracts.	The EMBO journal	11.227	https://doi.org/10.15252/embj.2019103365	{The EMBO journal (11.227): 10.15252/embj.2019103365}	'total RNA'	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA473984	https://www.ebi.ac.uk/ena/browser/view/PRJNA473984	None
GSE157723	Mus musculus	12	Expression profiling by high throughput sequencing; Other	GPL17021	Astroglial FMRP deficiency cell-autonomously up-regulates miR-128 and disrupts developmental astroglial mGluR5 signaling (RNA-Seq)	2020-09-09	The loss of fragile X mental retardation protein (FMRP) causes fragile X syndrome (FXS), the most common inherited intellectual disability. How the loss of FMRP alters protein expression and astroglial functions remains essentially unknown. Here we showed that selective loss of astroglial FMRP in vivo up-regulates a brain-enriched miRNA, miR-128-3p, in mouse and human FMRP-deficient astroglia, which suppresses developmental expression of astroglial metabotropic glutamate receptor 5 (mGluR5), a major receptor in mediating developmental astroglia to neuron communication. Selective in vivo inhibition of miR-128-3p in FMRP-deficient astroglia sufficiently rescues decreased mGluR5 function, while astroglial overexpression of miR-128-3p strongly and selectively diminishes developmental astroglial mGluR5 signaling. Subsequent transcriptome and proteome profiling further suggests that FMRP commonly and preferentially regulates protein expression through posttranscriptional, but not transcriptional, mechanisms in astroglia. Overall, our study defines an FMRP-dependent cell-autonomous miR pathway that selectively alters developmental astroglial mGluR5 signaling, unveiling astroglial molecular mechanisms involved in FXS pathogenesis.	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE157723	None	None	None	None	None	'total RNA'	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA662567	https://www.ebi.ac.uk/ena/browser/view/PRJNA662567	https://www.ncbi.nlm.nih.gov/sra?term=SRP281862
GSE118215	Arabidopsis thaliana	14	Other	GPL17639	Widespread EJC footprints in the RNA degradome mark mRNA degradation before steady-state translation	2018-08-07	Exon junction complexes (EJCs) are deposited to mRNAs during splicing and displaced from mRNAs by ribosomes in the pioneer round of translation. The understanding of EJC-bound mRNA degradation before steady-state translation has been limited to nonsense-mediated mRNA decay (NMD) due to a lack of suitable methodologies. Here, we show that RNA degradome data of Arabidopsis, rice, worm and human cells all exhibit a predominant accumulation of 5′ monophosphate (5′P) ends in the canonical EJC region. Inhibition of 5′-3′ exoribonuclease activity and overexpression of an EJC disassembly factor in Arabidopsis reduced the 5′P ends accumulating in the EJC region, supporting the notion that these 5′P ends are in vivo EJC footprints. Hundreds of Arabidopsis NMD targets possess evident EJC footprints, validating their degradation during the pioneer round of translation. In addition to premature termination codons, plant microRNAs can also direct the degradation of EJC-bound mRNAs. However, the production of EJC footprints from NMD but not microRNA targets is dependent on an NMD factor, SMG7. Together, our finding demonstrating in vivo EJC footprinting unravels the composition of the RNA degradome, and provides a new avenue for studying NMD and other mechanisms, such as microRNAs, targeting EJC-bound mRNAs for degradation before steady-state translation.	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE118215	Widespread Exon Junction Complex Footprints in the RNA Degradome Mark mRNA Degradation before Steady State Translation.	The Plant cell	8.631	https://doi.org/10.1105/tpc.19.00666	{The Plant cell (8.631): 10.1105/tpc.19.00666}	'total RNA'	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA484887	https://www.ebi.ac.uk/ena/browser/view/PRJNA484887	https://www.ncbi.nlm.nih.gov/sra?term=SRP156540
GSE113695	Homo sapiens	18	Expression profiling by high throughput sequencing; Other	GPL11154	EIF1AX-A113 splice and RAS mutations cooperate to drive thyroid tumorigenesis through ATF4 and c-MYC	2018-04-26	Translation initiation in higher eukaryotes is orchestrated by the tight regulation of the cap binding and the 43S pre-initiation complexes (PIC). The PIC component eukaryotic initiation factor 1A (EIF1A), encoded on human chromosomes X and Y by EIF1AX and EIF1AY, respectively, is essential for recruitment of the ternary complex and for assembling the 43S PIC, which after recruitment onto capped mRNAs scans their 5’UTR and localizes the AUG to initiate translation. Recurrent EIF1AX mutations are found in several cancers, including ~1% of papillary thyroid cancers in a mutually exclusive manner with other drivers (BRAF, RAS, and oncogenic fusions). They are enriched in advanced thyroid cancers (11%) where they display a striking co-occurrence with RAS, which we show cooperate to induce tumorigenesis in mouse models and in isogenic cell lines. The C-terminal tail EIF1AX-A113splice mutation is the most prevalent in advanced thyroid cancer, and private to this disease. We found that EIF1AX-A113spl variants stabilize the PIC and induces ATF4 expression, a sensor of cellular stress, which is co-opted to suppress EIF-2α phosphorylation, thus enabling a general increase in protein synthetic rate. RAS stabilizes c-MYC, an effect augmented by EIF1AX-A113spl. ATF4 and c-MYC induce expression of aminoacid transporters, and enhance sensitivity of mTOR to aminoacid supply. These mutually reinforcing events generate therapeutic vulnerabilities to MEK, BRD4 and mTOR kinase inhibitors. The RNA-Seq and Ribosome Profiling samples provided here were used to support the claim of increased translational efficiency of ATF4.	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE113695	<i>EIF1AX</i> and <i>RAS</i> Mutations Cooperate to Drive Thyroid Tumorigenesis through ATF4 and c-MYC.	Cancer discovery	26.37	https://doi.org/10.1158/2159-8290.CD-18-0606	{Cancer discovery (26.370): 10.1158/2159-8290.CD-18-0606}	'total RNA'	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA453686	https://www.ebi.ac.uk/ena/browser/view/PRJNA453686	https://www.ncbi.nlm.nih.gov/sra?term=SRP142722
GSE142895	Homo sapiens	24	Expression profiling by high throughput sequencing	GPL18573	Robust partitioning of microRNA targets from downstream regulatory changes [RNA-seq]	2020-01-02	The biological impact of microRNAs is determined by their targets, and robustly identifying direct miRNA targets remains challenging. Existing methods suffer from high false-positive rates and are unable to effectively differentiate direct miRNA targets from downstream regulatory changes. Here, we present a simple approach to deconvolute post-transcriptional and transcriptional changes using PRO-seq with RNA-seq. In combination, these methods allow us to systematically profile the regulatory impact of a miRNA. We refer to this approach as CARP: Combined Analysis of RNA-seq and PRO-seq. We apply CARP to multiple miRNAs and show that it robustly distinguishes direct targets from downstream changes, while greatly reducing false positives. We validate our approach using Argonaute eCLIP-seq and ribosome profiling, demonstrating that CARP defines a comprehensive repertoire of targets. We identify miRNA-specific activity of target sites within the coding region. CARP facilitates the dissection of complex changes in gene regulatory networks triggered by miRNAs and identification of transcription factors that underlie downstream regulatory changes. Given the robustness of the approach, CARP is particularly suitable for dissecting miRNA regulatory networks in vivo.	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE142895	Robust partitioning of microRNA targets from downstream regulatory changes.	Nucleic acids research	11.147	https://doi.org/10.1093/nar/gkaa687	{Nucleic acids research (11.147): 10.1093/nar/gkaa687}	'total RNA'	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA598734	https://www.ebi.ac.uk/ena/browser/view/PRJNA598734	https://www.ncbi.nlm.nih.gov/sra?term=SRP239336
GSE119615	Homo sapiens	10	Expression profiling by high throughput sequencing	GPL11154	Translation of upstream open reading frames in a model of neuronal differentiation	2018-09-06	Upstream open reading frames (uORFs) initiate translation within mRNA 5’ leaders,and have the potential to altermain coding sequence(CDS) translationontranscripts in which they reside. Ribosome profiling(RP)studies suggest that translating ribosomes are pervasive within 5’ leadersacross model systems. However, the significance of this observationremains unclear. To explore a role for uORF usage in neuronal differentiation, we performed RP on undifferentiated and differentiated human neuroblastoma cells. Using a spectral coherence algorithm (SPECtre),we identify4,954uORFsacross31%of all neuroblastoma transcripts. These uORFspredominantly utilize non-AUG initiationcodonsand exhibit translational efficiencies(TE)comparable to annotated coding regions. Usage of both AUG initiated uORFs and aconservedandconsistently translated subset of non-AUG initiated uORFs correlateswith repressed CDS translation. Ribosomal protein transcripts are enriched in uORFs, and select uORFs on such transcripts were validated for expression. Withneuronal differentiation, we observedan overall positive correlation between translational shifts in uORF/CDSpairs. However,a subset of transcripts exhibit inverse shifts in translation of uORF/CDSpairs. TheseuORFsare enriched in AUG initiation sites, non-overlapping, and shorterin length. Cumulatively, CDSs downstream of uORFs characterized by persistent translation show smaller shifts in TE withneuronal differentiation relative to CDSs without a predicted uORF, suggesting that fluctuations in CDS translation are buffered by uORF translation. In sum, this work provides insights into the dynamic relationshipsand potential regulatory functionsof uORF/CDS pairs in a model of neuronal differentiation.	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE119615	Translation of upstream open reading frames in a model of neuronal differentiation.	BMC genomics	3.501	https://doi.org/10.1186/s12864-019-5775-1	{BMC genomics (3.501): 10.1186/s12864-019-5775-1}	'total RNA'	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA489713	https://www.ebi.ac.uk/ena/browser/view/PRJNA489713	https://www.ncbi.nlm.nih.gov/sra?term=SRP159962
GSE102315	Homo sapiens	20	Other; Expression profiling by high throughput sequencing	GPL11154	Nutritional control of protein translation	2017-08-07	Regulation of protein translation is a key feature of many biological processes. Global protein translation as well as translation at the codon level can be regulated by RNA modifications. These modifications are particularly enriched in tRNAs, where they represent an additional regulatory layer on top of the primary RNA sequence. In eukaryotes, levels of tRNA queuosinylation reflect the bioavailability of the precursor queuine, which is salvaged from the gut microbiota and absorbed in the intestine. We show here that reduced queuine supply results in a strong reduction of tRNA queuosinylation in various cultured human cell lines and mouse tissues. In addition, Dnmt2-dependent tRNA methylation is dynamically modulated by the presence or absence of queuine. Ribosome profiling showed that nutritionally determined queuosine-tRNA (Q-tRNA) levels control the translation speed of Q-tRNA decoded codons. Dysregulation of translation resulted in pronounced endoplasmic reticulum stress and activation of the unfolded protein response, which could be rescued by the addition of queuine. Together, these findings establish a direct link between nutrient availability and the decoding of the transcriptome, thus providing a new perspective in our understanding of translational regulation.	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE102315	Queuosine-modified tRNAs confer nutritional control of protein translation.	The EMBO journal	11.227	https://doi.org/10.15252/embj.201899777	{The EMBO journal (11.227): 10.15252/embj.201899777}	'cytoplasmic RNA'	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA397422	https://www.ebi.ac.uk/ena/browser/view/PRJNA397422	https://www.ncbi.nlm.nih.gov/sra?term=SRP114965
GSE123608	Homo sapiens	8	Other	GPL20301	Codon usage optimization in pluripotent embryonic stem cells [tRNA sequencing]	2018-12-11	The uneven use of synonymous codons in the transcriptome regulates the efficiency and fidelity of protein translation rates. Yet, the importance of this codon bias on regulating cell state-specific expression programs is currently debated. Here, we asked whether the gene expression program in the well-defined cell states of self-renewal and differentiation in embryonic stem cells is driven by optimized codon usage. Using ribosome and transcriptome profiling, we identified distinct codon signatures for human self-renewing and differentiating embryonic stem cells. One driver for the cell state-specific codon bias was the genomic GC-content of the differentially expressed genes and thus, determined by transcription rather than translation. However, by measuring the codon frequencies at the ribosome’s active sites interacting with transfer RNAs (tRNA), we discovered that the wobble position tRNA modification inosine strongly influenced the codon optimization in self-renewing embryonic stem cells. This effect was conserved in mice and independent of the differentiation stimulus. In summary, we newly reveal how translational mechanisms based on RNA modifications can shape optimized codon usage in embryonic stem cells.	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE123608	Codon usage optimization in pluripotent embryonic stem cells.	Genome biology	14.028	https://doi.org/10.1186/s13059-019-1726-z	{Genome biology (14.028): 10.1186/s13059-019-1726-z}	'total RNA'	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA509375	https://www.ebi.ac.uk/ena/browser/view/PRJNA509375	https://www.ncbi.nlm.nih.gov/sra?term=SRP173268
GSE77033	Homo sapiens	1	Expression profiling by high throughput sequencing	GPL16791	nanoCAGE reveals 5’ UTR features that define specific modes of translation of functionally related mTOR-sensitive mRNAs	2016-01-20	mTOR regulates mRNA translation. Whereas ribosome-profiling suggested that mTOR exclusively stimulates translation of TOP (containing a 5’-terminal oligopyrimidine [5’TOP] motif) and TOP-like mRNAs, polysome-profiling implied that mTOR also modulates translation of non-TOP mRNAs. We show that ribosome-, but not polysome-profiling, is biased towards identification of TOP mRNAs as differentially translated while obscuring detection of changes in non-TOP mRNA translation. Transcription start site profiling by Nano-Cap Analysis of Gene Expression (nanoCAGE) revealed that many mTOR-sensitive mRNAs do not have 5’TOP motifs. Moreover, nanoCAGE showed that 5’ UTR features distinguish two functionally and translationally distinct subsets of mTOR-sensitive mRNAs: i) those with short 5’ UTRs enriched for mitochondrial functions such as respiration, that are translated in an eIF4E, but not eIF4A1-dependent manner and ii) mRNAs encoding proliferation- and survival-promoting proteins, that harbor long 5’ UTRs, and require both eIF4E and eIF4A1 for their efficient translation. Selective inhibition of translation of mRNAs harboring long 5’ UTRs via suppression of eIF4A leads to uncoupling of expression of proteins involved in respiration (e.g. ATP5O) from those protecting mitochondrial integrity (e.g. BCL-2) ultimately resulting in apoptosis. Conversely, simultaneous translational downregulation of both long and short 5’ UTR mRNAs by mTOR inhibitors results in suppression of mitochondrial respiration and predominantly cytostatic effects. Therefore, 5’ UTR features define differential modes of translation of functionally distinct mTOR-sensitive mRNAs, which explains discrepancies between the effects of mTOR and eIF4A inhibitors on neoplastic cells.	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE77033	nanoCAGE reveals 5' UTR features that define specific modes of translation of functionally related MTOR-sensitive mRNAs.	Genome research	9.944	https://doi.org/10.1101/gr.197566.115	{Genome research (9.944): 10.1101/gr.197566.115}	'total RNA'	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA309302	https://www.ebi.ac.uk/ena/browser/view/PRJNA309302	https://www.ncbi.nlm.nih.gov/sra?term=SRP068675
GSE143623	Homo sapiens	4	Other	GPL18573	Deregulation of ribosomal protein expression and translation promotes breast cancer metastasis [ribo-Seq BRx142]	2020-01-14	We conducted an in vivo genome-wide CRISPR activation screen to identify genes that accelerate distal metastasis by breast cancer patient-derived circulating tumor cells (CTCs) following direct intravascular inoculation in mice. Regulators of translation and ribosomal proteins were prominent among these, and expression of RPL15, a component of the large ribosome subunit, was sufficient to increase metastatic growth in multiple organs. RPL15 overexpression selectively increases translation of other ribosomal proteins and cell cycle regulators. Unsupervised analysis of single-cell RNA sequencing of freshly-isolated CTCs from breast cancer patients identifies a subset with strong ribosomal and protein translation signatures, correlated with increased proliferative markers, epithelial markers and poor clinical outcome. Thus, ribosome protein expression identifies an aggressive subset of CTCs, whose therapeutic targeting may suppress metastatic progression.	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE143623	Deregulation of ribosomal protein expression and translation promotes breast cancer metastasis.	Science (New York, N.Y.)	41.037	https://doi.org/10.1126/science.aay0939	{Science (New York, N.Y.) (41.037): 10.1126/science.aay0939}	'total RNA'	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA601135	https://www.ebi.ac.uk/ena/browser/view/PRJNA601135	https://www.ncbi.nlm.nih.gov/sra?term=SRP241899
GSE79539	Homo sapiens	3	Expression profiling by high throughput sequencing	GPL16791	Finding new proteins encoded by long non-coding RNAs in human cells	2016-03-23	We performed ribosome profiling to assess the translation elongation on translating RNA in HBE, A549, and H1299. We detected the new proteins in the cells.	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE79539	A hidden human proteome encoded by 'non-coding' genes.	Nucleic acids research	11.147	https://doi.org/10.1093/nar/gkz646	{Nucleic acids research (11.147): 10.1093/nar/gkz646}	'total RNA'	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA316125	https://www.ebi.ac.uk/ena/browser/view/PRJNA316125	https://www.ncbi.nlm.nih.gov/sra?term=SRP072231
