	0	1	2	3	4
22	Controlling_tissue_patterning_by_translational_regulation_of_signaling_transcripts_through_the_core_translation_factor_eIF3c_[I]	Mus musculus	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE183nnn/GSE183470/	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA760922	PRJNA760922
23	Reduced_Physical_Activity_Alters_the_Leucine-Stimulated_Translatome_in_Aged_Skeletal_Muscle	Homo sapiens	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE162nnn/GSE162730/	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA682757	PRJNA682757
24	Ribosome_profiling_reveals_an_important_role_for_translational_control_in_circadian_gene_expression	Homo sapiens	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE56nnn/GSE56924/	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA244941	PRJNA244941
25	Genome-wide_structure_changes_during_neuronal_differentiation_drive_gene_regulatory_networks	Homo sapiens	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE156nnn/GSE156671/	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA658654	PRJNA658654
26	mRNA_destabilization_is_the_dominant_effect_of_mammalian_microRNAs_by_the_time_substantial_repression_ensues	Homo sapiens; Mus musculus	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE61nnn/GSE61073/		
27	High_throughput_ribosome_profiling_of_E._coli_expressing_a_library_of_heterologous_proteins	Escherichia coli	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE134nnn/GSE134324/	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA554781	PRJNA554781
28	Genome-scale_transcription–translation_mapping_reveals_novel_features_of_Zymomonas_mobilis_promoters_and_transcription_units 	Zymomonas mobilis subsp. mobilis ZM4 = ATCC 31821	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE139nnn/GSE139939/	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA587699	PRJNA587699
29	Ythdf_m6A_readers_compensate_each_other_in_a_context_dependent_manner	Mus musculus	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE148nnn/GSE148039/		
30	Genome_organization_of_dengue_and_Zika_viruses	Dengue virus 3; Dengue virus 4; Zika virus; Homo sapiens; Dengue virus 1; Dengue virus 2	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE106nnn/GSE106483/	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA417011	PRJNA417011
31	Translation_and_codon_usage_regulate_Argonaute_slicer_activity_to_trigger_germline_small_RNA_biogenesis	Caenorhabditis elegans	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE155nnn/GSE155077/		
32	OXPHOS_deficiency_activates_global_adaptation_pathways_to_maintain_mitochondrial_membrane_potential	Saccharomyces cerevisiae W303	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE162nnn/GSE162197/	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA680923	PRJNA680923
33	mRNA_destabilization_is_the_dominant_effect_of_mammalian_microRNAs_by_the_time_substantial_repression_ensues_(sequencing)	Homo sapiens; Mus musculus	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE60nnn/GSE60426/	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA258219	PRJNA258219
34	Circadian_and_feeding_rhythms_differentially_affect_rhythmic_mRNA_transcription_and_translation_in_mouse_liver_[Ribosome_Profiling]	Mus musculus	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE73nnn/GSE73553/	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA297288	PRJNA297288
35	The_role_of_long_noncoding_RNAs_during_pancreas_development	Homo sapiens	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE144nnn/GSE144682/	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA604580	PRJNA604580
36	Combinatorial_analyis_of_translation_dynamics_reveals_eIF2_dependence_of_translation_initiation_at_near-cognate_codons	Homo sapiens	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE174nnn/GSE174329/	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA729461	PRJNA729461
37	The_molecular_basis_of_coupling_between_poly(A)-tail_length_and_translational_efficiency	Mus musculus; Xenopus laevis; Homo sapiens	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE166nnn/GSE166544/	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA701262	PRJNA701262
38	Intragenic_DNA_methylation_prevents_cryptic_transcription_initiations_on_gene_bodies	Mus musculus	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE72nnn/GSE72856/		
39	Impact_of_regulatory_variation_from_RNA_to_protein	Homo sapiens	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE61nnn/GSE61742/	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA262009	PRJNA262009
40	Translational_control_of_cardiac_fibrosis	Homo sapiens	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE131nnn/GSE131112/		
41	High-resolution_view_of_the_yeast_meiotic_program_revealed_by_ribosome_profiling	Saccharomyces cerevisiae	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE34nnn/GSE34082/	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA149975	PRJNA149975
42	Robust_partitioning_of_microRNA_targets_from_downstream_regulatory_changes	Homo sapiens	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE140nnn/GSE140367/		
43	Cotranslational_assembly_of_protein_complexes_in_eukaryotes_revealed_by_ribosome_profiling	Saccharomyces cerevisiae BY4741	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE116nnn/GSE116570/	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA479682	PRJNA479682
44	Integrative_analysis_of_RNA,_translation_and_protein_levels_reveals_distinct_regulatory_variation_across_humans	Homo sapiens	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE65nnn/GSE65912/	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA275386	PRJNA275386
45	Dynamic_changes_in_tRNA_modifications_and_abundance_during_T-cell_activation	Mus musculus	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE165nnn/GSE165622/		
46	Poly(A)-tail_profiling_reveals_an_embryonic_switch_in_translational_control	Schizosaccharomyces pombe; Danio rerio; Arabidopsis thaliana; Drosophila melanogaster; Xenopus laevis; Mus musculus; Saccharomyces cerevisiae; Homo sapiens	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE52nnn/GSE52809/	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA230112	PRJNA230112
47	The_human_mitochondrial_translatome_promotes_mitonuclear_balance	Homo sapiens	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE173nnn/GSE173283/	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA725118	PRJNA725118
48	A_dual-activity_topoisomerase_complex_regulates_mRNA_translation_and_turnover	Homo sapiens	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE188nnn/GSE188574/	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA779461	PRJNA779461
49	The_ribosomal_protein_Asc1/RACK1_is_required_for_efficient_translation_of_short_mRNAs	Saccharomyces cerevisiae Sigma1278b	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE61nnn/GSE61753/	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA262036	PRJNA262036
50	Sequence-_and_structure-specific_cytosine-5_methylation_in_mRNAs_by_NSUN6	Homo sapiens	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE140nnn/GSE140997/	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA591625	PRJNA591625
51	Ribosomes_guide_pachytene_piRNA_formation_on_long_intergenic_piRNA_precursors	Mus musculus; Anolis carolinensis	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE65nnn/GSE65786/	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA275185	PRJNA275185
52	TRL-1_undergoes_phase_separation_to_regulate_the_reproduction_and_longevity_tradeoff	Caenorhabditis elegans	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE184nnn/GSE184209/	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA763584	PRJNA763584
53	The_RNA_hairpin_binder_TRIM71_modulates_alternative_splicing_by_repressing_Mbnl1_[RNA-seq_&_Ribo-seq]	Mus musculus; Homo sapiens	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE130nnn/GSE130898/	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA541924	PRJNA541924
54	Structured_elements_drive_extensive_circular_RNA_translation	synthetic construct	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE178nnn/GSE178718/	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA740184	PRJNA740184
55	Anti-tumor_immunity_induces_the_presentation_of_aberrant_peptides_in_melanoma	Homo sapiens	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE142nnn/GSE142822/	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA598557	PRJNA598557
56	Nutrient_deprivation_elicits_a_transcriptional_and_translational_inflammatory_response_coupled_to_decreased_protein_synthesis	Homo sapiens	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE114nnn/GSE114794/	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA472636	PRJNA472636
57	Age-resolved_ribosome_profiling_and_RNA-Seq_data_of_mice_liver_and_kidney_samples	Mus musculus	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE123nnn/GSE123981/	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA510416	PRJNA510416
58	Optimization_of_Ribosome_Profiling_Using_Brain_Tissue_from_Fragile_X_Mice	Mus musculus; Homo sapiens	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE116nnn/GSE116233/	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA477831	PRJNA477831
59	Cycloheximide_can_distort_measurements_of_mRNA_levels_and_translation_efficiency	Saccharomyces cerevisiae	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE125nnn/GSE125038/	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA515049	PRJNA515049
60	Regulation_of_Translation_Elongation_Revealed_by_Ribosome_Profiling	Homo sapiens; Saccharomyces cerevisiae; Caenorhabditis elegans	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE115nnn/GSE115162/		
61	A_stress_response_that_monitors_and_regulates_mRNA_structure_is_central_to_cold-shock_adaptation	Escherichia coli; Escherichia coli str. K-12 substr. MG1655	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE103nnn/GSE103421/	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA401857	PRJNA401857
62	ActD,_Ribo-Seq_and_nRibo-Seq_timecourses_in_RAW264.7_cells_and_mESCs	Mus musculus	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE155nnn/GSE155236/		
63	Pervasive,_coordinated_protein_level_changes_driven_by_transcript_isoform_switching_during_meiosis	Saccharomyces cerevisiae	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE108nnn/GSE108778/	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA428526	PRJNA428526
64	Polysome_profiling_and_ribosome_footprinting_of_Drosophila_mature_oocyte_and_activated_egg	Drosophila melanogaster	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE52nnn/GSE52799/	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA230057	PRJNA230057
65	Mapping_of_m6A_and_Its_Regulatory_Targets_in_Prostate_Cancer_Reveals_a_METTL3-low_Induction_of_Therapy_Resistance	Homo sapiens	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE161nnn/GSE161304/		
66	HDLBP_binds_ER-targeted_mRNAs_by_multivalent_interactions_to_promote_protein_synthesis_of_transmembrane_and_secreted_proteins	Homo sapiens	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE148nnn/GSE148262/		
67	RNA_m6A-Ythdf1_in_dendritic_cells_triggers_anti-tumor_immunity	Mus musculus	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE115nnn/GSE115106/		
68	The_Gcn4_Transcription_Factor_Reduces__Protein_Synthesis_Capacity_and_Extends_Yeast_Lifespan	Saccharomyces cerevisiae	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE85nnn/GSE85591/		
69	Translational_profiling_in_the_unfolded_protein_response	Mus musculus	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE53nnn/GSE53743/	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA232779	PRJNA232779
70	Determining_the_methyltransferase_activities_of_METTL3,_METTL14,_and_METTL16	Homo sapiens	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE156nnn/GSE156798/		
71	Restrictions_in_amino_acid_availability_revealed_by_differential_ribosome_codon_reading	Homo sapiens	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE59nnn/GSE59821/		
72	Profiling_and_functional_characterization_of_maternal_mRNA_translation_in_mouse_maternal-to-zygotic_transition	Mus musculus	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE169nnn/GSE169632/	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA717246	PRJNA717246
73	The_Gcn4_Transcription_Factor_Reduces_Protein_Synthesis_Capacity_and_Extends_Yeast_Lifespan_[RNA-Seq]	Saccharomyces cerevisiae	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE85nnn/GSE85590/	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA338923	PRJNA338923
74	Intergenerational_hormesis_is_regulated_by_heritable_18S_rRNA_methylation__18S_rRNA_methylation_is_heritably_transmitted_to_regulate_intergenerational_hormesis	Caenorhabditis elegans	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE175nnn/GSE175363/	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA732080	PRJNA732080
75	YTHDC2_CLIP_and_RNA-seq_and_Ribo-seq_of_Ythdc2KO_and_Ythdc2-WLA_mutants	Mus musculus	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE190nnn/GSE190981/		
76	Super-enhancer_redistribution_as_a_mechanism_of_broad_gene_dysregulation_in_repeatedly_drug-treated_cancer_cells	Homo sapiens	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE129nnn/GSE129702/		
77	A_spatio-temporal_translatome_of_mouse_tissue_development	Mus musculus	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE94nnn/GSE94982/	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA375080	PRJNA375080
78	RNA-seq_and_ribosome_profiling_of_heat_shocked_wild_type_and_Mettl14_-/-_mouse_embryonic_stem_cells	Mus musculus	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE125nnn/GSE125725/	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA517401	PRJNA517401
79	eIF1A_residues_implicated_in_cancer_stabilize_translation_preinitiation_complexes_and_favor_suboptimal_initiation_sites_in_yeast	Saccharomyces cerevisiae	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE108nnn/GSE108334/	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA423281	PRJNA423281
80	Translational_contributions_to_tissue-specificity_in_rhythmic_and_constitutive_gene_expression	Mus musculus	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE81nnn/GSE81283/	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA321185	PRJNA321185
81	Ribosome_profiling_of_synchronous,_non-arrested_yeast_cells_identifies_translational_control_of_lipid_biosynthesis_enzymes_in_the_cell_cycle	Saccharomyces cerevisiae	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE81nnn/GSE81932/	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA323467	PRJNA323467
82	Modeling_the_Neuropathology_of_Tuberous_Sclerosis_with_Human_Stem_Cells_Reveals_a_Role_for_Inflammation_and_Angiogenic_Growth_Factors_[Treatment]	Homo sapiens	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE78nnn/GSE78960/	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA314507	PRJNA314507
83	Ribosome_profiling_reveals_the_rhythmic_liver_translatome_and_circadian_clock_regulation_by_upstream_open_reading_frames	Mus musculus	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE67nnn/GSE67305/	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA279465	PRJNA279465
84	mRNA_and_Ribosome_Profiling_in_Four_Nematode_Species_Traversing_a_Shared_Developmental_Transition	Caenorhabditis remanei; Caenorhabditis briggsae; Caenorhabditis brenneri; Caenorhabditis elegans	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE48nnn/GSE48140/	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA208993	PRJNA208993
85	Cell_fate_determination_by_ubiquitin-dependent_regulation_of_translation	Homo sapiens	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE62nnn/GSE62247/	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA263582	PRJNA263582
86	Initiation_Pausing_of_80S_Ribosome_on_mRNA_Is_Governed_by_5’UTR_and_Responsive_to_mTORC1_Signaling	Mus musculus	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE25nnn/GSE25627/		
87	m6A_mRNA_Methylation_Facilitates_Resolution_of_Naïve_Pluripotency_Towards_Differentiation	Mus musculus	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE61nnn/GSE61998/		
88	Extensive_oscillatory_gene_expression_during_C._elegans_larval_development_[RNA-seq_for_polyA_enriched_mRNAs]	Caenorhabditis elegans	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE52nnn/GSE52861/	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA230374	PRJNA230374
89	Phase_separation_of_Ddx3xb_helicase_regulates_maternal-to-zygotic_transition_in_zebrafish	Danio rerio	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE169nnn/GSE169169/		
90	The_Interplay_Between_Translational_Efficiency,_Poly(A)_Tails,_MicroRNAs,_and_Neuronal_Activation	Mus musculus	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE194nnn/GSE194172/		
91	In_vivo_RNAi_mediated_knockdown_of_translation_initiation_factor_eIF3m_is_associated_with_alterations_in_ribosome_biogenesis	Mus musculus	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE118nnn/GSE118395/		
92	Charged_tRNA_profiling_of_mcf10a,_HCC1806_cells,_polysome_profiling,_RNA-Seq_and_Ribo-Seq_in_4T07_cells_upon_LARS_knockdown_by_shRNA,_and_RNA-Seq_of_ribosome-associated_RNAs_in_Lars_depleted_PyMT_tumors 	Homo sapiens; Mus musculus	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE176nnn/GSE176130/	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA734953	PRJNA734953
93	Post-transcriptional_regulation_by_the_let-7_microRNA_and_the_TRIM-NHL_protein_LIN41_[RNA-seq]	Caenorhabditis elegans	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE80nnn/GSE80157/	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA318054	PRJNA318054
94	Post-transcriptional_regulation_by_the_let-7_microRNA_and_the_TRIM-NHL_protein_LIN41_[Ribosome_footprinting]	Caenorhabditis elegans	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE80nnn/GSE80133/	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA318047	PRJNA318047
95	Male-specific_lymphomagenesis_by_serial_inverse_dysregulation_of_the_RNA_helicases_DDX3X_and_DDX3Y.	Homo sapiens	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE143nnn/GSE143393/	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA605444	PRJNA605444
96	SARS-CoV-2_utilizes_a_multipronged_strategy_to_suppress_host_protein_synthesis	Severe acute respiratory syndrome coronavirus 2; Homo sapiens	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE162nnn/GSE162323/	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA681523	PRJNA681523
97	Loss_of_m6A_RNA_methylation_during_glioma_stem_cell_differentiation_is_regulated_by_miRNAs_and_promotes_translation_efficiency	Homo sapiens	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE114nnn/GSE114222/	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA470579	PRJNA470579
98	Promoter-bound_METTL3_maintains_myeloid_leukemia_by_m6A-dependent_regulation_of_protein_translation	Homo sapiens	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE94nnn/GSE94613/	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA371833	PRJNA371833
99	Improved_transcription_and_translation_with_L-leucine_stimulation_of_mTORC1	Homo sapiens	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE64nnn/GSE64962/	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA272597	PRJNA272597
100	Mutations_in_distinct_translation-dependent_quality_control_pathways_lead_to_convergent_molecular_pathogenesis_and neurodevelopmental_defects.	Mus musculus	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE162nnn/GSE162556/	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA682206	PRJNA682206
