	0	1	2	3	4
13	Sequencing_of_RNA_and_footprints_of_wildtype_and_RpS5b_mutant_Drosophila_ovaries_[RIBO-seq]	Drosophila melanogaster	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE168nnn/GSE168878/	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA714407	PRJNA714407
14	Adaptive_translational_pausing_is_a_hallmark_of_the_cellular_response_to_severe_environmental_stress	Mus musculus	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE157nnn/GSE157519/	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA661558	PRJNA661558
15	Male-specific_lymphomagenesis_by_serial_inverse_dysregulation_of_the_RNA_helicases_DDX3X_and_DDX3Y.	Homo sapiens	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE143nnn/GSE143393/	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA605444	PRJNA605444
16	Ribosome_Profiling_with_CNOT1_depletion	Homo sapiens	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE158nnn/GSE158141/	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA664116	PRJNA664116
17	An_oncomicropeptide_Regulates_translation_in_leukemia	Homo sapiens	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE181nnn/GSE181795/	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA753487	PRJNA753487
18	mRNA_breakage_linked_to_active_translation_triggers_innate_silencing_of_an_invasive_transposon	Arabidopsis thaliana	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE167nnn/GSE167484/	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA704712	PRJNA704712
19	N7-methylguanosine_tRNA_modification_enhances_oncogenic_mRNA_translation_and_promotes_intrahepatic_cholangiocarcinoma_progression	Homo sapiens	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE161nnn/GSE161319/	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA677870	PRJNA677870
20	Integrated_transcriptomic_and_translatomic_exploration_of_the_effect_of_betaine_on_lipid_metabolic_dysregulation_induced_by_a_high-fat_diet	Mus musculus	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE181nnn/GSE181077/	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA750636	PRJNA750636
21	The_molecular_basis_of_coupling_between_poly(A)-tail_length_and_translational_efficiency	Homo sapiens; Xenopus laevis; Mus musculus	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE166nnn/GSE166544/	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA701262	PRJNA701262
22	Combinatorial_analyis_of_translation_dynamics_reveals_eIF2_dependence_of_translation_initiation_at_near-cognate_codons	Homo sapiens	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE174nnn/GSE174329/	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA729461	PRJNA729461
23	The_myopathic_transcription_factor_DUX4_induces_the_production_of_truncated_RNA-binding_proteins_in_human_muscle_cells_[Ribo-seq]	Homo sapiens	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE178nnn/GSE178760/	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA740301	PRJNA740301
24	nRibo-Seq_timecourse_in_mESCs	Mus musculus	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE171nnn/GSE171774/	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA720892	PRJNA720892
25	ActD_timecourse_in_mESCs	Mus musculus	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE171nnn/GSE171265/	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA718868	PRJNA718868
26	nRibo-Seq_timecourse_in_RAW264.7_cells	Mus musculus	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE155nnn/GSE155234/	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA649002	PRJNA649002
27	Ribo-Seq_timecourse_in_RAW264.7_cells_upon_LPS_treatment	Mus musculus	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE155nnn/GSE155233/	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA649003	PRJNA649003
28	ActD_timecourse_in_RAW264.7_cells	Mus musculus	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE155nnn/GSE155232/	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA649001	PRJNA649001
29	RNA-Seq_and_Ribo-Seq_analysis_of_contol_and__METTL3_inducible_shRNA_LNCaP_lines_with_and_without_doxycycline_induction	Homo sapiens	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE161nnn/GSE161301/	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA676161	PRJNA676161
30	Function_and_Mechanism_of_METTL5-mediated_18S_rRNA_m6A1832_modification_in_hepatocellular_carcinoma	Homo sapiens	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE175nnn/GSE175827/	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA734003	PRJNA734003
31	Adaptation_to_chronic_ER_stress_enforces_pancreatic_beta-cell_plasticity	Mus musculus	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE174nnn/GSE174679/	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA731067	PRJNA731067
32	RNMT_regulates_the_activated_CD4_T_cell_transcriptome_and_translatome_[Ribo-Seq]	Mus musculus	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE160nnn/GSE160326/	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA672952	PRJNA672952
33	A_photosynthesis_operon_in_the_chloroplast_genome_drives_speciation_in_evening_primroses	Oenothera elata subsp. hookeri; Oenothera elata subsp. hookeri x Oenothera grandiflora	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE174nnn/GSE174154/	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA728643	PRJNA728643
34	Host-informed_molecular_engineering_improves_antigen_quality_and_enables_integrated_manufacturing_of_a_trivalent_subunit_vaccine_[Ribo-seq]	Komagataella phaffii	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE159nnn/GSE159336/	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA668384	PRJNA668384
35	ZFP36_and_ZFP36L1_integrate_transcriptome_and_metabolic_reprograming_of_activated_mouse_CD4+_T_cells	Mus musculus	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE155nnn/GSE155087/	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA648398	PRJNA648398
36	Identification_of_translated_small_open_reading_frames_in_lymphocytes	Mus musculus	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE154nnn/GSE154491/	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA646476	PRJNA646476
37	Effect_of_N1-acetylspermidine_treatment_on_the_translatome_of_hair_follicle_stem_cell_organoid_cultures	Mus musculus	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE164nnn/GSE164806/	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA692108	PRJNA692108
38	Translation_and_codon_usage_regulate_Argonaute_slicer_activity_to_trigger_germline_small_RNA_biogenesis_[RNA-Seq]	Caenorhabditis elegans	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE155nnn/GSE155074/	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA648381	PRJNA648381
39	Translation_and_codon_usage_regulate_Argonaute_slicer_activity_to_trigger_germline_small_RNA_biogenesis_[Ribo-Seq]	Caenorhabditis elegans	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE155nnn/GSE155073/	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA648380	PRJNA648380
40	HMGB1_coordinates_SASP-related_chromatin_folding_and_RNA_homeostasis_on_the_path_to_senescence_[Ribo-seq]	Homo sapiens	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE171nnn/GSE171780/	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA720951	PRJNA720951
41	Critical_contribution_of_3’_non-seed_base_pairing_to_the_in_vivo_function_of_the_evolutionarily_conserved_let-7a_microRNA_[Ribo-seq]	Caenorhabditis elegans	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE171nnn/GSE171726/	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA720671	PRJNA720671
42	SARS-CoV-2_utilizes_a_multipronged_strategy_to_suppress_host_protein_synthesis	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE162nnn/GSE162323/	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA681523	PRJNA681523
43	The_translational_landscape_of_phenylephrine-treated_neonatal_rat_cardiomyocytes_[Ribo-seq]	Rattus norvegicus	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE155nnn/GSE155899/	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA655955	PRJNA655955
44	Ribosome_profiling_analysis_of_aging_human_skeletal_muscle_(Ribo-Seq)	Homo sapiens	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE152nnn/GSE152556/	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA639716	PRJNA639716
45	Multi-omics_analysis_to_study_hepatitis_B_virus-host_interaction	Homo sapiens	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE135nnn/GSE135860/	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA560349	PRJNA560349
46	Abundant_Circular_RNA_expression_in_terminal_erythropoiesis_and_megakaryopoiesis_shows_limited_evidence_for_translation_or_circRNA-mediated_translation_regulation_[Ribo-seq]	Homo sapiens	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE159nnn/GSE159578/	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA669814	PRJNA669814
47	N1-methyladenosine_methylations_in_tRNA_drive_liver_tumorigenesis_by_PPARδ-mediated_cholesterol_synthesis	Homo sapiens	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE147nnn/GSE147840/	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA622261	PRJNA622261
48	One-shot_analysis_of_translated_mammalian_lncRNAs_with_AHARIBO	Mus musculus	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE167nnn/GSE167865/	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA705358	PRJNA705358
49	Analysis_of_the_eIF4E3-dependent_translatome_after_Torin1-induced_stress_in_N2a_cells_ctrl_and_eIF4E3_KO	Mus musculus	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE167nnn/GSE167324/	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA704316	PRJNA704316
50	RNA-seq_and_Ribo-seq_analysis_of_the_effects_of_METTL3/14_depletion_on_gene_expression_during_the_interferon_response_in_Huh7_cells	Homo sapiens	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE155nnn/GSE155447/	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA649776	PRJNA649776
51	Ribosome_profiling_reveals_sequence-independent_post-initiation_pausing_as_a_signature_of_translation	Homo sapiens	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE166nnn/GSE166874/	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA702160	PRJNA702160
52	Mutant_huntingtin_stalls_ribosomes_and_represses_protein_synthesis_in_a_cellular_model_of_Huntington_disease_(mRNA-Seq)	Mus musculus	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE166nnn/GSE166695/	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA701625	PRJNA701625
53	Anabolic_effects_of_cheddar_cheese_consumption_in_human_skeletal_muscle	Homo sapiens	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE163nnn/GSE163279/	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA685484	PRJNA685484
54	Potassium_tellurite_exerts_its_toxicity_on_ribosome_in_Escherichia_coli	Escherichia coli	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE109nnn/GSE109907/	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA432322	PRJNA432322
55	Germline_inherited_small_RNAs_facilitate_the_clearance_of_untranslated_maternal_mRNAs_in_C._elegans_embryos_(Ribo-Seq)	Caenorhabditis elegans	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE146nnn/GSE146059/	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA609216	PRJNA609216
56	Landscape_of_transcriptional_and_translational_changes_over_22_years_of_bacterial_adaptation	Escherichia coli	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE164nnn/GSE164308/	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA689830	PRJNA689830
57	Loss_of_m6A_RNA_methylation_during_glioma_stem_cell_differentiation_is_regulated_by_miRNAs_and_promotes_translation_efficiency	Homo sapiens	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE114nnn/GSE114222/	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA470579	PRJNA470579
58	Combined_analysis_of_ribo-seq_and_rna-seq_reveals_that_Mettl3_regulates_embryonic_cerebral_cortex_development_in_mice_by_controlling_the_proliferation_and_differentiation_of_neural_progenitor_cells	Mus musculus	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE154nnn/GSE154992/	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA648109	PRJNA648109
59	Relaxed_initiation_pausing_of_ribosomes_drives_oncogenic_translation	Homo sapiens	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE159nnn/GSE159210/	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA667952	PRJNA667952
60	MazF_toxin_causes_alterations_in_Staphylococcus_aureus_transcriptome,_translatome_and_proteome_that_underlie_bacterial_dormancy	Staphylococcus aureus	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE155nnn/GSE155036/	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA648316	PRJNA648316
61	Translational_Regulation_of_Metabolic_Dynamics_during_Effector-Triggered_Immunity	Arabidopsis thaliana	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE124nnn/GSE124115/	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA510796	PRJNA510796
62	Global_Translational_Landscape_of_the_Candida_albicans_Morphological_Transition	Candida albicans	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE154nnn/GSE154488/	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA646470	PRJNA646470
63	A_PRC2-independent_function_for_EZH2_in_regulating_rRNA_2′-O_methylation_and_IRES-dependent_translation	Homo sapiens	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE143nnn/GSE143975/	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA602407	PRJNA602407
64	Cellular_proteostasis_collapse_in_mammalian_senescence	Homo sapiens	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE124nnn/GSE124609/	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA512837	PRJNA512837
65	Reduced_Physical_Activity_Alters_the_Leucine-Stimulated_Translatome_in_Aged_Skeletal_Muscle	Homo sapiens	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE162nnn/GSE162730/	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA682757	PRJNA682757
66	OXPHOS_deficiency_activates_global_adaptation_pathways_to_maintain_mitochondrial_membrane_potential	Saccharomyces cerevisiae W303	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE162nnn/GSE162197/	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA680923	PRJNA680923
67	Translational_landscape_of_SARS-CoV-2_and_infected_cells	Chlorocebus sabaeus; Homo sapiens	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE158nnn/GSE158930/	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA667051	PRJNA667051
68	Genome_wide_analysis_of_mRNA_expression_and_polysome_profiling_in_DDX3_knockdown_SAS_cells	Homo sapiens	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE160nnn/GSE160803/	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA674567	PRJNA674567
69	4EHP_and_GIGYF1/2_induce_translation-coupled_messenger_RNA_decay	Homo sapiens	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE144nnn/GSE144841/	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA605114	PRJNA605114
70	Ribo-seq_data_from_NIH_3T3_cells_lacking_eIF4G2	Mus musculus	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE158nnn/GSE158136/	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA664109	PRJNA664109
71	4EHP_and_GIGYF1/2_induce_translation-coupled_messenger_RNA_decay_[Wildtype_and_ZNF598-null]	Homo sapiens	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE149nnn/GSE149279/	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA627881	PRJNA627881
72	tsRibo-Seq:_An_Approach_to_Zoom_In_into_Translation_of_Single_Transcripts	Homo sapiens	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE104nnn/GSE104587/	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA413138	PRJNA413138
73	Genome-wide_effects_of_the_antimicrobial_peptide_apidaecin_on_translation_termination	Escherichia coli	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE150nnn/GSE150034/	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA630973	PRJNA630973
74	Ribosome_Footprinting_(RiboSeq)_analysis_of_mRNA_translation_in_MEF_Wt_cells_overexpressing__METTL1+WDR4	Mus musculus	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE149nnn/GSE149970/	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA630709	PRJNA630709
75	TRIBE_editing_reveals_specific_mRNA_targets_of_eIF4E-BP_in_Drosophila_and_in_mammals	Homo sapiens; Drosophila melanogaster	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE153nnn/GSE153346/	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA642123	PRJNA642123
76	Ribosome_profiling_of_SMN-primed_ribosomes_and_active_ribosome_profiling_from_brains_of_a_mouse_model_of_severe_SMA	Mus musculus	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE154nnn/GSE154106/	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA645135	PRJNA645135
77	Robust_partitioning_of_microRNA_targets_from_downstream_regulatory_changes_[Ribo-seq]	Homo sapiens	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE140nnn/GSE140366/	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA589466	PRJNA589466
78	The_role_of_long_noncoding_RNAs_during_pancreas_development	Homo sapiens	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE144nnn/GSE144682/	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA604580	PRJNA604580
79	Thousands_of_novel_unannotated_proteins_expand_the_MHC_I_immunopeptidome_in_cancer	Homo sapiens	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE143nnn/GSE143263/	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA599422	PRJNA599422
80	In_vivo_RNAi_mediated_knockdown_of_translation_initiation_factor_eIF3m_is_associated_with_alterations_in_ribosome_biogenesis_[RNAseq/Riboseq]	Mus musculus	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE120nnn/GSE120533/	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA493293	PRJNA493293
81	Mutant_huntingtin_stalls_ribosomes_and_represses_protein_synthesis_in_a_cellular_model_of_Huntington_disease_[Ribo-seq]	Mus musculus	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE146nnn/GSE146674/	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA611609	PRJNA611609
82	Mutant_huntingtin_stalls_ribosomes_and_represses_protein_synthesis_in_a_cellular_model_of_Huntington_disease_[RNA-seq]	Mus musculus	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE146nnn/GSE146673/	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA611610	PRJNA611610
83	Master_stress_response_gene_ATF4_&_other_oncogenes_are_translated_by_DENR-dependent_reinitiation	Homo sapiens	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE140nnn/GSE140084/	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA588223	PRJNA588223
84	p53-inducible_long_non-coding_RNAs_encode_functional_peptides_in_hepatocellular_carcinoma_cells_[Ribo-seq]	Homo sapiens	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE125nnn/GSE125757/	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA517458	PRJNA517458
85	Genome-scale_transcription–translation_mapping_reveals_novel_features_of_Zymomonas_mobilis_promoters_and_transcription_units 	Zymomonas mobilis subsp. mobilis ZM4 = ATCC 31821	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE139nnn/GSE139939/	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA587699	PRJNA587699
86	Ribosome_profiling_under_ABCE1_depletion_to_study_aberrant_translation_termination	Homo sapiens	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE143nnn/GSE143301/	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA599943	PRJNA599943
87	Genetic_circuit_characterization_by_inferring_RNA_polymerase_movement_and_ribosome_usage	Escherichia coli	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE152nnn/GSE152664/	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA640006	PRJNA640006
88	Ythdf_m6A_readers_compensate_each_other_in_a_context_dependent_manner_[Ribo-seq]	Mus musculus	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE148nnn/GSE148536/	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA624906	PRJNA624906
89	Translation_elongation_factor_2_depletion_by_siRNA_in_mouse_liver_leads_to_mTOR-independent_translational_upregulation_of_ribosomal_protein_genes	Mus musculus	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE136nnn/GSE136091/	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA561206	PRJNA561206
90	Chromatin_state_maintains_human_myeloid_leukemia_by_regulating_m6A_demethylase_ALKBH5_expression_[Ribo-seq]	Homo sapiens	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE146nnn/GSE146849/	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA612239	PRJNA612239
91	Decoding_SARS-CoV-2_coding_capacity	Severe acute respiratory syndrome coronavirus 2; Homo sapiens; Chlorocebus aethiops aethiops	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE149nnn/GSE149973/	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA630716	PRJNA630716
92	The_zinc_finger_domains_in_U2AF26_and_U2AF35_have_diverse_functionalities_including_a_role_in_controlling_translation	Mus musculus	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE144nnn/GSE144065/	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA602676	PRJNA602676
93	Whole_transcriptome_profiles_and_ribosome_profiling_of_thapsigargin-_and_tunicamycin-treated_LN308_cells	Homo sapiens	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE129nnn/GSE129757/	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA532643	PRJNA532643
