Unnamed: 0,Title,Organism,Source,Strain/Genotype,Cell/Tissue,Description,Library_Strategy,Ribosome_position,Extraction_Protocol,Tags,Library_Strategy_Evidence,Ribosome_Position_Evidence
GSM5610133,rna_pub1_2_b3_s2, Saccharomyces cerevisiae,yeast cell,pub1deltaMATalpha his3delta1 leu2delta0 lys2delta0 ura3delta0 pub1::KanMX,,Total RNA,RNA-seq study,NA,"Cell lysates were clarified by two sequential centrifugation steps - 3000g, 5 minutes, 4℃, and 20000g, 10 minutes, 4℃. Part of the cell lysate was used for mRNA isolation using Oligo(dT) beads.  Another part was treated with ribonuclease I for polysome disassembly and applied to a linear 10-50% sucrose gradient in fractionation buffer (20 mM Tris pH 8.0, 140 mM KCl, 15 mM MgCl2, 1 mM DTT, 0.1 mg/ml cycloheximide, 1% Triton) and separated on a SW-41 rotor (Beckman) at 35000 rpm, 3 hours, 4℃. Subsequently, ribosome-bound RNA fragments were collected from the monosome fraction. Ribosome-bound RNA was isolated using acidic-phenol extraction. cDNA libraries for Ribo-Seq and RNA-Seq were constructed in parallel using standard ribosomal profiling library construction protocol (described in Kasari et al., 2019 DOI: 10.1093/nar/gkz600). Importantly, cycloheximide was added to the lysis buffer but not to the growth media.",{},[rna],
GSM5610134,rna_pub1_3_b3_s2, Saccharomyces cerevisiae,yeast cell,pub1deltaMATalpha his3delta1 leu2delta0 lys2delta0 ura3delta0 pub1::KanMX,,Total RNA,RNA-seq study,NA,"Cell lysates were clarified by two sequential centrifugation steps - 3000g, 5 minutes, 4℃, and 20000g, 10 minutes, 4℃. Part of the cell lysate was used for mRNA isolation using Oligo(dT) beads.  Another part was treated with ribonuclease I for polysome disassembly and applied to a linear 10-50% sucrose gradient in fractionation buffer (20 mM Tris pH 8.0, 140 mM KCl, 15 mM MgCl2, 1 mM DTT, 0.1 mg/ml cycloheximide, 1% Triton) and separated on a SW-41 rotor (Beckman) at 35000 rpm, 3 hours, 4℃. Subsequently, ribosome-bound RNA fragments were collected from the monosome fraction. Ribosome-bound RNA was isolated using acidic-phenol extraction. cDNA libraries for Ribo-Seq and RNA-Seq were constructed in parallel using standard ribosomal profiling library construction protocol (described in Kasari et al., 2019 DOI: 10.1093/nar/gkz600). Importantly, cycloheximide was added to the lysis buffer but not to the growth media.",{},[rna],
GSM5610135,rna_pub1_4_b4_s2, Saccharomyces cerevisiae,yeast cell,pub1deltaMATalpha his3delta1 leu2delta0 lys2delta0 ura3delta0 pub1::KanMX,,Total RNA,RNA-seq study,NA,"Cell lysates were clarified by two sequential centrifugation steps - 3000g, 5 minutes, 4℃, and 20000g, 10 minutes, 4℃. Part of the cell lysate was used for mRNA isolation using Oligo(dT) beads.  Another part was treated with ribonuclease I for polysome disassembly and applied to a linear 10-50% sucrose gradient in fractionation buffer (20 mM Tris pH 8.0, 140 mM KCl, 15 mM MgCl2, 1 mM DTT, 0.1 mg/ml cycloheximide, 1% Triton) and separated on a SW-41 rotor (Beckman) at 35000 rpm, 3 hours, 4℃. Subsequently, ribosome-bound RNA fragments were collected from the monosome fraction. Ribosome-bound RNA was isolated using acidic-phenol extraction. cDNA libraries for Ribo-Seq and RNA-Seq were constructed in parallel using standard ribosomal profiling library construction protocol (described in Kasari et al., 2019 DOI: 10.1093/nar/gkz600). Importantly, cycloheximide was added to the lysis buffer but not to the growth media.",{},[rna],
GSM5610136,rna_pub1_5_b1_s2, Saccharomyces cerevisiae,yeast cell,pub1deltaMATalpha his3delta1 leu2delta0 lys2delta0 ura3delta0 pub1::KanMX,,Total RNA,RNA-seq study,NA,"Cell lysates were clarified by two sequential centrifugation steps - 3000g, 5 minutes, 4℃, and 20000g, 10 minutes, 4℃. Part of the cell lysate was used for mRNA isolation using Oligo(dT) beads.  Another part was treated with ribonuclease I for polysome disassembly and applied to a linear 10-50% sucrose gradient in fractionation buffer (20 mM Tris pH 8.0, 140 mM KCl, 15 mM MgCl2, 1 mM DTT, 0.1 mg/ml cycloheximide, 1% Triton) and separated on a SW-41 rotor (Beckman) at 35000 rpm, 3 hours, 4℃. Subsequently, ribosome-bound RNA fragments were collected from the monosome fraction. Ribosome-bound RNA was isolated using acidic-phenol extraction. cDNA libraries for Ribo-Seq and RNA-Seq were constructed in parallel using standard ribosomal profiling library construction protocol (described in Kasari et al., 2019 DOI: 10.1093/nar/gkz600). Importantly, cycloheximide was added to the lysis buffer but not to the growth media.",{},[rna],
GSM5610137,ribo_wt_1_b1_s2, Saccharomyces cerevisiae,yeast cell,wtMATalpha his3delta1 leu2delta0 lys2delta0 ura3delta0,,Ribosome-bound RNA,Ribo-seq study,Inconclusive,"Cell lysates were clarified by two sequential centrifugation steps - 3000g, 5 minutes, 4℃, and 20000g, 10 minutes, 4℃. Part of the cell lysate was used for mRNA isolation using Oligo(dT) beads.  Another part was treated with ribonuclease I for polysome disassembly and applied to a linear 10-50% sucrose gradient in fractionation buffer (20 mM Tris pH 8.0, 140 mM KCl, 15 mM MgCl2, 1 mM DTT, 0.1 mg/ml cycloheximide, 1% Triton) and separated on a SW-41 rotor (Beckman) at 35000 rpm, 3 hours, 4℃. Subsequently, ribosome-bound RNA fragments were collected from the monosome fraction. Ribosome-bound RNA was isolated using acidic-phenol extraction. cDNA libraries for Ribo-Seq and RNA-Seq were constructed in parallel using standard ribosomal profiling library construction protocol (described in Kasari et al., 2019 DOI: 10.1093/nar/gkz600). Importantly, cycloheximide was added to the lysis buffer but not to the growth media.",{},[ribo],No Key Words Found
GSM5610138,ribo_wt_2_b4_s2, Saccharomyces cerevisiae,yeast cell,wtMATalpha his3delta1 leu2delta0 lys2delta0 ura3delta0,,Ribosome-bound RNA,Ribo-seq study,Inconclusive,"Cell lysates were clarified by two sequential centrifugation steps - 3000g, 5 minutes, 4℃, and 20000g, 10 minutes, 4℃. Part of the cell lysate was used for mRNA isolation using Oligo(dT) beads.  Another part was treated with ribonuclease I for polysome disassembly and applied to a linear 10-50% sucrose gradient in fractionation buffer (20 mM Tris pH 8.0, 140 mM KCl, 15 mM MgCl2, 1 mM DTT, 0.1 mg/ml cycloheximide, 1% Triton) and separated on a SW-41 rotor (Beckman) at 35000 rpm, 3 hours, 4℃. Subsequently, ribosome-bound RNA fragments were collected from the monosome fraction. Ribosome-bound RNA was isolated using acidic-phenol extraction. cDNA libraries for Ribo-Seq and RNA-Seq were constructed in parallel using standard ribosomal profiling library construction protocol (described in Kasari et al., 2019 DOI: 10.1093/nar/gkz600). Importantly, cycloheximide was added to the lysis buffer but not to the growth media.",{},[ribo],No Key Words Found
GSM5610139,ribo_wt_3_b4_s2, Saccharomyces cerevisiae,yeast cell,wtMATalpha his3delta1 leu2delta0 lys2delta0 ura3delta0,,Ribosome-bound RNA,Ribo-seq study,Inconclusive,"Cell lysates were clarified by two sequential centrifugation steps - 3000g, 5 minutes, 4℃, and 20000g, 10 minutes, 4℃. Part of the cell lysate was used for mRNA isolation using Oligo(dT) beads.  Another part was treated with ribonuclease I for polysome disassembly and applied to a linear 10-50% sucrose gradient in fractionation buffer (20 mM Tris pH 8.0, 140 mM KCl, 15 mM MgCl2, 1 mM DTT, 0.1 mg/ml cycloheximide, 1% Triton) and separated on a SW-41 rotor (Beckman) at 35000 rpm, 3 hours, 4℃. Subsequently, ribosome-bound RNA fragments were collected from the monosome fraction. Ribosome-bound RNA was isolated using acidic-phenol extraction. cDNA libraries for Ribo-Seq and RNA-Seq were constructed in parallel using standard ribosomal profiling library construction protocol (described in Kasari et al., 2019 DOI: 10.1093/nar/gkz600). Importantly, cycloheximide was added to the lysis buffer but not to the growth media.",{},[ribo],No Key Words Found
GSM5610140,ribo_wt_4_b1_s2, Saccharomyces cerevisiae,yeast cell,wtMATalpha his3delta1 leu2delta0 lys2delta0 ura3delta0,,Ribosome-bound RNA,Ribo-seq study,Inconclusive,"Cell lysates were clarified by two sequential centrifugation steps - 3000g, 5 minutes, 4℃, and 20000g, 10 minutes, 4℃. Part of the cell lysate was used for mRNA isolation using Oligo(dT) beads.  Another part was treated with ribonuclease I for polysome disassembly and applied to a linear 10-50% sucrose gradient in fractionation buffer (20 mM Tris pH 8.0, 140 mM KCl, 15 mM MgCl2, 1 mM DTT, 0.1 mg/ml cycloheximide, 1% Triton) and separated on a SW-41 rotor (Beckman) at 35000 rpm, 3 hours, 4℃. Subsequently, ribosome-bound RNA fragments were collected from the monosome fraction. Ribosome-bound RNA was isolated using acidic-phenol extraction. cDNA libraries for Ribo-Seq and RNA-Seq were constructed in parallel using standard ribosomal profiling library construction protocol (described in Kasari et al., 2019 DOI: 10.1093/nar/gkz600). Importantly, cycloheximide was added to the lysis buffer but not to the growth media.",{},[ribo],No Key Words Found
GSM5610141,ribo_gir2_1_b2_s2, Saccharomyces cerevisiae,yeast cell,gir2deltaMATalpha his3delta1 leu2delta0 lys2delta0 ura3delta0 gir2::KanMX,,Ribosome-bound RNA,Ribo-seq study,Inconclusive,"Cell lysates were clarified by two sequential centrifugation steps - 3000g, 5 minutes, 4℃, and 20000g, 10 minutes, 4℃. Part of the cell lysate was used for mRNA isolation using Oligo(dT) beads.  Another part was treated with ribonuclease I for polysome disassembly and applied to a linear 10-50% sucrose gradient in fractionation buffer (20 mM Tris pH 8.0, 140 mM KCl, 15 mM MgCl2, 1 mM DTT, 0.1 mg/ml cycloheximide, 1% Triton) and separated on a SW-41 rotor (Beckman) at 35000 rpm, 3 hours, 4℃. Subsequently, ribosome-bound RNA fragments were collected from the monosome fraction. Ribosome-bound RNA was isolated using acidic-phenol extraction. cDNA libraries for Ribo-Seq and RNA-Seq were constructed in parallel using standard ribosomal profiling library construction protocol (described in Kasari et al., 2019 DOI: 10.1093/nar/gkz600). Importantly, cycloheximide was added to the lysis buffer but not to the growth media.",{},[ribo],No Key Words Found
GSM5610142,ribo_gir2_2_b2_s2, Saccharomyces cerevisiae,yeast cell,gir2deltaMATalpha his3delta1 leu2delta0 lys2delta0 ura3delta0 gir2::KanMX,,Ribosome-bound RNA,Ribo-seq study,Inconclusive,"Cell lysates were clarified by two sequential centrifugation steps - 3000g, 5 minutes, 4℃, and 20000g, 10 minutes, 4℃. Part of the cell lysate was used for mRNA isolation using Oligo(dT) beads.  Another part was treated with ribonuclease I for polysome disassembly and applied to a linear 10-50% sucrose gradient in fractionation buffer (20 mM Tris pH 8.0, 140 mM KCl, 15 mM MgCl2, 1 mM DTT, 0.1 mg/ml cycloheximide, 1% Triton) and separated on a SW-41 rotor (Beckman) at 35000 rpm, 3 hours, 4℃. Subsequently, ribosome-bound RNA fragments were collected from the monosome fraction. Ribosome-bound RNA was isolated using acidic-phenol extraction. cDNA libraries for Ribo-Seq and RNA-Seq were constructed in parallel using standard ribosomal profiling library construction protocol (described in Kasari et al., 2019 DOI: 10.1093/nar/gkz600). Importantly, cycloheximide was added to the lysis buffer but not to the growth media.",{},[ribo],No Key Words Found
GSM5610143,ribo_gir2_3_b2_s2, Saccharomyces cerevisiae,yeast cell,gir2deltaMATalpha his3delta1 leu2delta0 lys2delta0 ura3delta0 gir2::KanMX,,Ribosome-bound RNA,Ribo-seq study,Inconclusive,"Cell lysates were clarified by two sequential centrifugation steps - 3000g, 5 minutes, 4℃, and 20000g, 10 minutes, 4℃. Part of the cell lysate was used for mRNA isolation using Oligo(dT) beads.  Another part was treated with ribonuclease I for polysome disassembly and applied to a linear 10-50% sucrose gradient in fractionation buffer (20 mM Tris pH 8.0, 140 mM KCl, 15 mM MgCl2, 1 mM DTT, 0.1 mg/ml cycloheximide, 1% Triton) and separated on a SW-41 rotor (Beckman) at 35000 rpm, 3 hours, 4℃. Subsequently, ribosome-bound RNA fragments were collected from the monosome fraction. Ribosome-bound RNA was isolated using acidic-phenol extraction. cDNA libraries for Ribo-Seq and RNA-Seq were constructed in parallel using standard ribosomal profiling library construction protocol (described in Kasari et al., 2019 DOI: 10.1093/nar/gkz600). Importantly, cycloheximide was added to the lysis buffer but not to the growth media.",{},[ribo],No Key Words Found
GSM5610144,ribo_gir2_4_b1_s2, Saccharomyces cerevisiae,yeast cell,gir2deltaMATalpha his3delta1 leu2delta0 lys2delta0 ura3delta0 gir2::KanMX,,Ribosome-bound RNA,Ribo-seq study,Inconclusive,"Cell lysates were clarified by two sequential centrifugation steps - 3000g, 5 minutes, 4℃, and 20000g, 10 minutes, 4℃. Part of the cell lysate was used for mRNA isolation using Oligo(dT) beads.  Another part was treated with ribonuclease I for polysome disassembly and applied to a linear 10-50% sucrose gradient in fractionation buffer (20 mM Tris pH 8.0, 140 mM KCl, 15 mM MgCl2, 1 mM DTT, 0.1 mg/ml cycloheximide, 1% Triton) and separated on a SW-41 rotor (Beckman) at 35000 rpm, 3 hours, 4℃. Subsequently, ribosome-bound RNA fragments were collected from the monosome fraction. Ribosome-bound RNA was isolated using acidic-phenol extraction. cDNA libraries for Ribo-Seq and RNA-Seq were constructed in parallel using standard ribosomal profiling library construction protocol (described in Kasari et al., 2019 DOI: 10.1093/nar/gkz600). Importantly, cycloheximide was added to the lysis buffer but not to the growth media.",{},[ribo],No Key Words Found
GSM5610145,ribo_pub1_1_b3_s2, Saccharomyces cerevisiae,yeast cell,pub1deltaMATalpha his3delta1 leu2delta0 lys2delta0 ura3delta0 pub1::KanMX,,Ribosome-bound RNA,Ribo-seq study,Inconclusive,"Cell lysates were clarified by two sequential centrifugation steps - 3000g, 5 minutes, 4℃, and 20000g, 10 minutes, 4℃. Part of the cell lysate was used for mRNA isolation using Oligo(dT) beads.  Another part was treated with ribonuclease I for polysome disassembly and applied to a linear 10-50% sucrose gradient in fractionation buffer (20 mM Tris pH 8.0, 140 mM KCl, 15 mM MgCl2, 1 mM DTT, 0.1 mg/ml cycloheximide, 1% Triton) and separated on a SW-41 rotor (Beckman) at 35000 rpm, 3 hours, 4℃. Subsequently, ribosome-bound RNA fragments were collected from the monosome fraction. Ribosome-bound RNA was isolated using acidic-phenol extraction. cDNA libraries for Ribo-Seq and RNA-Seq were constructed in parallel using standard ribosomal profiling library construction protocol (described in Kasari et al., 2019 DOI: 10.1093/nar/gkz600). Importantly, cycloheximide was added to the lysis buffer but not to the growth media.",{},[ribo],No Key Words Found
GSM5610146,ribo_pub1_2_b3_s2, Saccharomyces cerevisiae,yeast cell,pub1deltaMATalpha his3delta1 leu2delta0 lys2delta0 ura3delta0 pub1::KanMX,,Ribosome-bound RNA,Ribo-seq study,Inconclusive,"Cell lysates were clarified by two sequential centrifugation steps - 3000g, 5 minutes, 4℃, and 20000g, 10 minutes, 4℃. Part of the cell lysate was used for mRNA isolation using Oligo(dT) beads.  Another part was treated with ribonuclease I for polysome disassembly and applied to a linear 10-50% sucrose gradient in fractionation buffer (20 mM Tris pH 8.0, 140 mM KCl, 15 mM MgCl2, 1 mM DTT, 0.1 mg/ml cycloheximide, 1% Triton) and separated on a SW-41 rotor (Beckman) at 35000 rpm, 3 hours, 4℃. Subsequently, ribosome-bound RNA fragments were collected from the monosome fraction. Ribosome-bound RNA was isolated using acidic-phenol extraction. cDNA libraries for Ribo-Seq and RNA-Seq were constructed in parallel using standard ribosomal profiling library construction protocol (described in Kasari et al., 2019 DOI: 10.1093/nar/gkz600). Importantly, cycloheximide was added to the lysis buffer but not to the growth media.",{},[ribo],No Key Words Found
GSM5610147,ribo_pub1_3_b3_s2, Saccharomyces cerevisiae,yeast cell,pub1deltaMATalpha his3delta1 leu2delta0 lys2delta0 ura3delta0 pub1::KanMX,,Ribosome-bound RNA,Ribo-seq study,Inconclusive,"Cell lysates were clarified by two sequential centrifugation steps - 3000g, 5 minutes, 4℃, and 20000g, 10 minutes, 4℃. Part of the cell lysate was used for mRNA isolation using Oligo(dT) beads.  Another part was treated with ribonuclease I for polysome disassembly and applied to a linear 10-50% sucrose gradient in fractionation buffer (20 mM Tris pH 8.0, 140 mM KCl, 15 mM MgCl2, 1 mM DTT, 0.1 mg/ml cycloheximide, 1% Triton) and separated on a SW-41 rotor (Beckman) at 35000 rpm, 3 hours, 4℃. Subsequently, ribosome-bound RNA fragments were collected from the monosome fraction. Ribosome-bound RNA was isolated using acidic-phenol extraction. cDNA libraries for Ribo-Seq and RNA-Seq were constructed in parallel using standard ribosomal profiling library construction protocol (described in Kasari et al., 2019 DOI: 10.1093/nar/gkz600). Importantly, cycloheximide was added to the lysis buffer but not to the growth media.",{},[ribo],No Key Words Found
